CUI	               Name	               Odds ratio (ASD vs Non-psychiatric)	               Odds ratio (ASD vs Psychiatric)	               Frequency (%, positive, ASD)	               Frequency (%,negative, ASD)	               Frequency (%,positive, Non-psychiatric)	               Frequency (%,negative, Non-psychiatric)	               Frequency (%,positive, Psychiatric)	               Frequency (%,negative, Psychiatric)	               TUI
C0557981	Implementation of planned interventions	58.0	1.1154	6.7757	0.0	6.0748	0.1168	0.0	0.0	T058
C0010297	creativity	58.0	0.6988	6.7757	0.0	9.6963	0.1168	0.0	0.0	T041
C0474413	Problematic behaviour in children	57.0	1.5833	6.6589	0.1168	4.2056	0.1168	0.1168	0.0	T048
C0508138	Address the issue of mandatory attendance	57.0	2.4783	6.6589	0.0	2.6869	0.0	0.0	0.0	T058
C1821172	Expected change in symptoms	57.0	2.5909	13.3178	0.0	5.1402	0.1168	0.2336	0.0	T033
C4021798	Impaired use of nonverbal behaviours	56.875	1.7704	53.1542	0.0	30.0234	0.0	0.9346	0.0	T048
C0497201	Abnormal;sensation;eye	55.625	1.8388	51.986	0.1168	28.271	0.1168	0.9346	0.0	T033
C1837653	Inflexible adherence to routines or rituals	55.5	1.8272	51.8692	0.1168	28.3879	0.1168	0.9346	0.0	T033
C2018050	speech nonverbal communication skills facial expressions	55.375	1.823	51.7523	0.1168	28.3879	0.1168	0.9346	0.0	T033
C0424271	Resistance to change	55.25	1.8264	51.6355	0.0	28.271	0.0	0.9346	0.0	T033
C4021573	Patchy hypo- and hyperpigmentation	55.25	1.8264	51.6355	0.0	28.271	0.1168	0.9346	0.0	T047
C0481870	Encounter due to Trypanosomiasis screening	54.75	1.3994	51.1682	0.2336	36.5654	0.2336	0.4673	0.0	T033
C0679160	specific attitude and behavior	54.5	11.2759	12.7336	0.1168	6.7757	0.7009	0.2336	0.0	T055
C0677315	Create a management plan	54.0	0.6279	6.3084	0.0	10.0467	0.0	0.1168	0.0	T058
C0509795	Decrease limit setting as patient behavior approximates the desired behaviors	53.5	0.7868	12.5	0.0	15.8879	0.1168	0.2336	0.0	T058
C0205555	specials	51.0	1.0408	5.9579	0.0	5.7243	0.1168	0.0	0.0	T080
C0549165	Preoccupation finding	49.5556	6.1216	52.1028	0.4673	29.7897	1.6355	1.0514	0.4673	T033
C1548437	Rejected	49.0	0.8596	5.7243	0.0	6.6589	0.0	0.1168	0.0	T080
C2095620	discussed growth spurt	48.0	7.1111	11.215	0.0	3.1542	0.2336	0.2336	0.0	T058
C0237849	peeling skins	48.0	2.4	5.6075	0.0	2.3364	0.1168	0.0	0.0	T033
C0564213	Difficulty using language	47.25	8.6897	22.0794	0.0	10.1636	0.4673	0.4673	0.0	T033
C0085632	APATHY	45.0	5.4217	52.5701	0.0	29.0888	0.3505	1.1682	0.0	T048
C2370884	Emotional Regulations	44.5	4.6493	10.3972	0.2336	7.8271	0.8178	0.0	0.0	T041
C0233632	Disturbance in thinking	44.0	2.75	5.1402	0.1168	1.8692	0.1168	0.0	0.0	T033
C0575078	Skeletal muscle problem	44.0	2.75	5.1402	0.0	1.8692	0.0	0.0	0.0	T033
C0476241	delayed developmental milestones	43.0	1.5926	10.0467	0.0	6.3084	0.1168	0.2336	0.0	T033
C1535926	Neurodevelopmental Disorder	42.5	5.1515	9.9299	0.0	3.8551	0.2336	0.2336	0.0	T048
C0681405	Preschool Completion	42.5	1.5455	9.9299	0.2336	6.4252	0.2336	0.1168	0.0	T033
C0557970	Developing a treatment plan	40.6667	2.5417	7.1262	0.0	2.8037	0.1168	0.3505	0.2336	T058
C2735060	Problem prior evaluation	40.0	0.8333	2.3364	0.0	2.8037	0.1168	0.0	0.2336	T058
C2707778	Current toileting program or trial	40.0	0.8163	9.3458	0.2336	5.7243	0.0	0.0	0.0	T033
C4015169	Social difficulties	39.6429	1.8974	8.6449	0.4673	9.1121	0.9346	0.8178	1.7523	T033
C1443302	Procedure with a procedure focus	39.0	1.56	4.5561	0.0	2.9206	0.1168	0.1168	0.0	T058
C3840154	Developmental delay in receptive-expressive language	37.0	1.5417	4.3224	0.0	2.8037	0.0	0.1168	0.0	T048
C0036973	Shivering	36.0	1.5	4.2056	0.0	2.8037	0.1168	0.0	0.0	T033
C0231517	Rigid Behavior	36.0	1.3846	4.2056	0.1168	3.0374	0.1168	0.1168	0.0	T055
C1827897	Caregiver difficulty providing cognitive learning experiences	36.0	1.2	2.1028	0.0	1.7523	0.0	0.0	0.2336	T033
C1411876	developmental arithmetic disorder	35.0	2.1875	8.1776	0.0	3.7383	0.1168	0.2336	0.0	T048
C0234892	Grunting (observable entity)	35.0	5.0	4.0888	0.1168	2.4533	0.3505	0.1168	0.0	T055
C3845586	Deteriorated-receives more support	35.0	5.303	4.0888	0.1168	3.8551	0.5841	0.0	0.0	T033
C1445953	Poor eye contact	34.5	17.8889	16.1215	0.1168	6.3084	0.8178	0.4673	0.0	T033
C0237276	Cognition - other	34.0	0.4857	3.972	0.0	8.1776	0.0	0.1168	0.0	T033
C0235309	stomach upset	33.5	0.3073	15.6542	0.4673	12.7336	0.1168	0.1168	0.0	T184
C0474395	Behaviour showing increased motor activity	33.0	1.4348	3.8551	0.1168	2.6869	0.1168	0.1168	0.0	T033
C0021177	increasing libido	32.0	0.6667	7.4766	0.0	11.215	0.0	0.2336	0.0	T184
C0241731	WEIGHT LOSS, SLIGHT	32.0	1.5238	3.7383	0.1168	2.4533	0.1168	0.1168	0.0	T033
C0015230	Exanthemata	31.8036	2.5796	48.014	2.4533	40.771	5.3738	0.9346	1.5187	T184
C0205332	Reactive	31.0	1.4762	3.6215	0.1168	2.4533	0.0	0.0	0.0	T080
C2182630	milestone: stacks two blocks	31.0	1.3478	3.6215	0.1168	2.6869	0.0	0.1168	0.1168	T033
C0421964	Special activities medical	31.0	1.4762	3.6215	0.0	2.4533	0.0	0.0	0.0	T058
C0684274	Self-control as a personality trait	30.6667	0.8889	10.7477	0.3505	8.0607	0.2336	0.0	0.0	T055
C0560883	Sitting - difficulty	30.0	0.8824	3.5047	0.0	3.972	0.0	0.0	0.0	T033
C0425746	Cannot get an erection	30.0	1.7647	3.5047	0.0	1.986	0.0	0.0	0.0	T033
C0562448	Difficult to manage behavior	30.0	1.3043	3.5047	0.1168	2.6869	0.0	0.1168	0.0	T033
C0814299	factor genetic risk	29.0	3.0526	6.7757	0.0	2.2196	0.0	0.2336	0.0	T033
C0236826	Developmental expressive language disorder	29.0	1.3182	3.3879	0.0	5.1402	0.2336	0.0	0.1168	T048
C0445254	Sensory (qualifier value)	29.0	3.3462	6.7757	0.1168	6.0748	0.3505	0.2336	0.1168	T080
C2675334	Restrictive behavior, interests, and activities	28.6667	1.7551	10.0467	0.3505	5.7243	0.3505	0.0	0.0	T033
C0040264	Tinnitus, NOS	28.0	1.2727	3.271	0.1168	2.5701	0.1168	0.1168	0.1168	T047
C3263381	Balancing - confidence - score change	28.0	1.4	3.271	0.0	2.3364	0.0	0.0	0.0	T033
C1744601	Abnormal heart beat	28.0	1.4	3.271	0.0	2.3364	0.0	0.0	0.0	T184
C0856735	Low output state	28.0	0.875	3.271	0.0	3.7383	0.0	0.0	0.0	T047
C1255664	Standardized Assessments	27.5	1.7742	6.4252	0.2336	3.6215	0.2336	0.1168	0.0	T058
C1838029	Easily frustrated	27.5	0.873	6.4252	0.1168	7.3598	0.0	0.2336	0.0	T033
C0038999	SWELLING	27.0577	3.6813	46.9626	1.5187	39.2523	4.6729	0.9346	0.8178	T033
C2013964	ordinary things have unique significance (reference)	27.0	1.7609	3.1542	0.1168	5.3738	0.3505	0.1168	0.1168	T184
C1706086	Both	27.0	1.2857	3.1542	0.0	2.4533	0.0	0.0	0.0	T080
C0011124	Libido, Decreased	27.0	1.4211	3.1542	0.0	2.2196	0.0	0.0	0.0	T033
C3842527	Physical occupational therapy 4	27.0	0.7297	3.1542	0.0	4.3224	0.0	0.1168	0.0	T033
C0018687	health behavior	27.0	0.8182	1.0514	0.0	1.285	0.0	0.1168	0.3505	T055
C3550976	Aggressive behavior (in some patients)	26.0	1.4444	3.0374	0.0	2.1028	0.0	0.0	0.0	T033
C0677260	Administer an individual dose	26.0	1.8571	3.0374	0.0	1.6355	0.0	0.0	0.0	T058
C0036674	Deprivations, Sensory	26.0	1.1304	3.0374	0.1168	2.6869	0.0	0.0	0.0	T033
C0237280	restless behavior	25.0	1.9231	2.9206	0.0	1.5187	0.1168	0.0	0.0	T055
C4061761	Difficulty with sexual behavior	25.0	2.6316	2.9206	0.1168	2.2196	0.2336	0.0	0.1168	T033
C0846617	Genetic assessment	25.0	0.9259	2.9206	0.0	3.1542	0.0	0.1168	0.0	T058
C0871311	screening tests	25.0	0.8065	2.9206	0.0	3.6215	0.1168	0.1168	0.0	T058
C0423044	Poor focus	25.0	1.1364	2.9206	0.0	2.5701	0.0	0.0	0.0	T033
C2183417	difficulty finding desired words	25.0	1.1364	2.9206	0.0	2.5701	0.0	0.0	0.0	T033
C2125997	recent weight gain due to overeating during emotional stress	25.0	0.5556	2.9206	0.0	5.257	0.0	0.0	0.0	T033
C0449582	texture	24.7222	2.7357	51.986	0.2336	28.5047	0.3505	1.0514	0.0	T080
C1836840	Decreased eye contact	24.0	1.6	8.4112	0.3505	7.0093	0.4673	0.0	0.0	T033
C4229663	Slightly elevated cholesterol	24.0	1.2	2.8037	0.1168	2.3364	0.0	0.0	0.0	T033
C3840684	Modification	24.0	0.6316	2.8037	0.0	4.4393	0.0	0.0	0.0	T033
C0013985	emotional disturbances	24.0	0.8	2.8037	0.1168	3.5047	0.1168	0.0	0.0	T048
C2347650	Potential Study Subject	24.0	1.1429	2.8037	0.0	2.4533	0.0	0.0	0.0	T101
C0474385	Anxiety about behavior or performance	24.0	1.2	2.8037	0.1168	2.3364	0.1168	0.0	0.0	T033
C1830739	Communicative limitation	24.0	1.7778	2.8037	0.1168	3.1542	0.2336	0.0	0.0	T033
C0233743	prosody	24.0	1.1429	2.8037	0.0	2.4533	0.1168	0.0	0.0	T033
C4064938	illness anxiety disorder	24.0	1.0	0.1168	0.0	0.0	0.0	0.1168	2.8037	T048
C1406026	receptive; language	23.5	1.8077	5.4907	0.1168	6.0748	0.2336	0.2336	0.0	T048
C4229117	Delayed myelination (patient A)	23.0	0.92	2.6869	0.1168	2.9206	0.0	0.1168	0.0	T033
C0558067	Tangential thinking	23.0	0.8214	2.6869	0.1168	3.271	0.0	0.0	0.0	T048
C3889687	Clinical Observation	23.0	0.8519	2.6869	0.1168	3.1542	0.0	0.1168	0.0	T058
C0589139	Rigidity of thinking	23.0	3.2857	2.6869	0.1168	0.8178	0.0	0.0	0.0	T041
C0162538	Immunoglobulin A deficiency (disorder)	23.0	5.75	2.6869	0.0	1.8692	0.4673	0.1168	0.0	T047
C0442824	very	22.0	0.9362	5.1402	0.2336	5.4907	0.2336	0.1168	0.0	T080
C0679024	Spatial Visualizations	22.0	1.0	2.5701	0.0	2.5701	0.0	0.0	0.0	T041
C3516948	Evaluation of hearing rehabilitation	22.0	0.8148	2.5701	0.1168	3.1542	0.1168	0.0	0.0	T058
C0086035	competence	22.0	0.8148	2.5701	0.0	3.1542	0.0	0.0	0.0	T080
C0239779	GRIMACING	22.0	7.3333	2.5701	0.1168	1.0514	0.3505	0.1168	0.0	T184
C0751048	Communication Disorder, Childhood	22.0	2.0952	2.5701	0.1168	2.4533	0.2336	0.0	0.0	T048
C0679048	Obsessive Thinking	22.0	4.4	1.285	0.1168	0.5841	0.2336	0.0	0.2336	T048
C0564490	Inhibited behaviour	22.0	1.6923	2.5701	0.0	1.5187	0.0	0.0	0.0	T033
C0021822	Interviews	22.0	1.6923	2.5701	0.0	1.5187	0.1168	0.1168	0.0	T052
C3662068	Static encephalopathy	21.0	1.4	2.4533	0.1168	1.7523	0.0	0.0	0.0	T047
C0577491	Difficulty playing	21.0	2.1	2.4533	0.0	1.1682	0.0	0.0	0.0	T033
C2077297	insomnia due to frequent interruptions	21.0	0.8077	4.9065	0.2336	3.0374	0.1168	0.0	0.0	T184
C3551491	Aggression (in some patients)	21.0	0.6774	7.3598	0.3505	3.6215	0.0	0.0	0.0	T033
C3151702	Limited facial expression	21.0	4.2	2.4533	0.0	0.5841	0.0	0.0	0.0	T033
C0679106	anticipation	21.0	3.0	2.4533	0.0	0.8178	0.0	0.0	0.0	T041
C0029121	Oppositional Defiant Disorder	21.0	0.7778	4.9065	0.2336	6.3084	0.2336	0.0	0.0	T048
C1855575	Very rare	21.0	2.3333	2.4533	0.0	1.0514	0.0	0.0	0.0	T033
C1849403	Transaminases mildly elevated	21.0	1.5	2.4533	0.1168	3.271	0.2336	0.1168	0.0	T033
C4017769	Self-injurious behavior (in some patients)	21.0	2.3333	2.4533	0.0	1.0514	0.0	0.0	0.0	T033
C1708476	Implementation	21.0	1.1053	2.4533	0.0	2.2196	0.0	0.0	0.0	T052
C4068326	ADHD diagnostic rating scale interpretation	20.8333	0.898	14.6028	0.7009	13.5514	0.5841	0.1168	0.0	T033
C1314206	Services provided, afternoon	20.0	2.1429	2.3364	0.1168	3.271	0.3505	0.0	0.0	T058
C1319136	Self-directed care behavior	20.0	2.6667	2.3364	0.1168	1.7523	0.2336	0.1168	0.0	T055
C2230278	decreased apical impulse	20.0	1.1765	2.3364	0.1168	1.986	0.0	0.0	0.0	T033
C0037036	Sialorrhea	20.0	1.5385	2.3364	0.1168	1.5187	0.0	0.1168	0.0	T047
C4087194	Sensory processing disorder	20.0	1.1765	2.3364	0.0	1.986	0.0	0.0	0.0	T047
C3844738	No Response - Disease Response	20.0	0.8333	0.5841	0.0	0.7009	0.0	0.1168	0.4673	T033
C3843044	Changing schedule	19.0	3.8	2.2196	0.0	0.5841	0.1168	0.0	0.0	T033
C0558018	Ongoing assessment of behaviour	19.0	2.6512	4.4393	0.1168	5.0234	0.3505	0.2336	0.0	T058
C1854494	Slow progression	19.0	1.9	2.2196	0.0	1.1682	0.0	0.0	0.0	T033
C0510184	Develop a behavior change program	19.0	1.5833	2.2196	0.0	1.4019	0.0	0.0	0.0	T058
C2219871	anxiety continuously for a month or more	19.0	1.1176	2.2196	0.0	1.986	0.0	0.0	0.0	T184
C4277662	Independent Medical Evaluations	19.0	2.1111	2.2196	0.1168	1.0514	0.0	0.0	0.0	T058
C3899405	Decreased Attention	19.0	1.5833	2.2196	0.0	2.8037	0.2336	0.0	0.0	T184
C3846732	Requires immediate evaluation or treatment	19.0	2.375	2.2196	0.0	0.9346	0.1168	0.1168	0.0	T033
C0242270	compassion	19.0	1.7273	2.2196	0.0	1.285	0.0	0.0	0.0	T054
C4087241	Frustration tolerance decreased	19.0	1.2667	2.2196	0.0	1.7523	0.0	0.1168	0.0	T048
C1399930	deficit; attention, with hyperactivity	19.0	0.7308	2.2196	0.1168	3.0374	0.0	0.0	0.0	T048
C0392185	Verbal repetition, NOS	18.5	5.4412	4.3224	0.2336	1.986	0.5841	0.0	0.0	T033
C0877083	Sensory integrative dysfunction	18.5	1.4231	4.3224	0.0	3.0374	0.0	0.2336	0.0	T184
C1444299	Physical therapy assessment	18.5	1.48	4.3224	0.1168	2.9206	0.1168	0.2336	0.1168	T058
C1827453	difficulty coping with postpartum changes	18.0	1.8	2.1028	0.1168	1.1682	0.0	0.1168	0.0	T033
C0474415	Non-compliant behavior	18.0	2.0	2.1028	0.0	1.0514	0.0	0.0	0.0	T033
C4068325	ADHD inattentive symptoms mean score	18.0	0.5714	6.3084	0.3505	7.3598	0.2336	0.1168	0.1168	T033
C0004310	Perceptual Disorder, Auditory	18.0	1.0	2.1028	0.0	2.1028	0.0	0.0	0.0	T048
C0036371	School health services	18.0	2.5714	2.1028	0.1168	1.6355	0.2336	0.0	0.0	T058
C2712830	Newborn weight check	18.0	0.6	2.1028	0.0	3.5047	0.1168	0.0	0.0	T033
C1314207	Services provided in the evening	18.0	2.0	2.1028	0.1168	1.0514	0.0	0.0	0.0	T058
C0425946	Short menstrual periods	18.0	1.125	2.1028	0.0	1.8692	0.0	0.1168	0.0	T033
C3276433	Decreased mental alertness	18.0	1.5	2.1028	0.0	1.4019	0.0	0.1168	0.0	T033
C0032995	Unwanted Pregnancy	18.0	2.5714	2.1028	0.0	0.8178	0.0	0.0	0.1168	T033
C0946050	Emotional stability behavior	18.0	6.0	2.1028	0.0	1.0514	0.3505	0.1168	0.0	T055
C0870612	Grade Level	18.0	1.6364	2.1028	0.0	1.285	0.1168	0.0	0.0	T080
C0584995	difficulty writing	17.5	0.7447	4.0888	0.0	5.4907	0.1168	0.2336	0.0	T048
C4065471	disruptive mood dysregulation disorder	17.5	0.7	4.0888	0.2336	2.9206	0.0	0.1168	0.0	T048
C0020443	hypercholesterolaemia	17.5	2.625	4.0888	0.2336	2.3364	0.3505	0.0	0.0	T047
C3506375	a hard, swollen area	17.25	1.2778	8.0607	0.1168	6.3084	0.1168	0.4673	0.0	T184
C0278016	Stools hard	17.0	5.4091	1.986	0.1168	2.5701	0.8178	0.1168	0.0	T033
C1821909	Participates in organized activity	17.0	1.8889	1.986	0.0	1.0514	0.0	0.0	0.0	T033
C0566418	Feeds self with difficulty	17.0	1.4167	1.986	0.0	2.8037	0.2336	0.0	0.1168	T033
C2610222	irritable aggressive behavior	17.0	1.7	1.986	0.1168	1.1682	0.1168	0.0	0.0	T055
C0231519	gegenhalten	17.0	1.36	1.986	0.1168	2.9206	0.2336	0.0	0.0	T033
C0514006	Obtain baseline EKG, as appropriate	17.0	1.0	1.986	0.0	1.986	0.1168	0.0	0.0	T058
C3809741	Sensory impairment (in some patients)	17.0	1.0	1.986	0.0	1.986	0.0	0.1168	0.0	T033
C0429955	Bowels: occasional accident	17.0	1.5455	1.986	0.1168	1.285	0.0	0.1168	0.0	T184
C0454642	Receptive language delay	17.0	1.2143	1.986	0.0	1.6355	0.1168	0.0	0.0	T048
C2751668	Increased nasal-potential difference (some)	17.0	0.8947	3.972	0.2336	2.2196	0.0	0.0	0.0	T033
C0184575	Mobility deficit therapy	17.0	1.1333	1.986	0.0	1.7523	0.0	0.1168	0.0	T058
C0422663	Clinic A monitoring deleted	17.0	1.7	1.986	0.1168	1.1682	0.1168	0.0	0.0	T033
C1735324	Fine Motor Delay	17.0	1.0303	3.972	0.0	3.8551	0.1168	0.2336	0.1168	T033
C3553819	Tremor, mild	17.0	0.9444	1.986	0.0	2.1028	0.0	0.0	0.0	T033
C0436562	C/O: a rash	17.0	1.3077	1.986	0.1168	1.5187	0.0	0.1168	0.0	T033
C0004941	Behavioral symptoms	16.75	0.3722	7.8271	0.4673	5.257	0.1168	0.1168	0.0	T184
C1319166	Symptom severity (finding)	16.5	2.4444	3.8551	0.0	3.1542	0.2336	0.2336	0.0	T033
C1837658	Gross motor development delay	16.5	2.3023	3.8551	0.1168	5.0234	0.3505	0.2336	0.0	T047
C0347530	Base deficit (finding)	16.5	0.4648	3.8551	0.1168	8.2944	0.0	0.2336	0.0	T033
C3544230	Booster dose missed	16.0	1.2308	1.8692	0.1168	3.0374	0.2336	0.0	0.0	T033
C3532948	Mild receptive language delay	16.0	0.6154	1.8692	0.0	3.0374	0.0	0.0	0.0	T048
C1145184	Comprehensive multidisciplinary evaluation	16.0	0.9412	1.8692	0.0	1.986	0.0	0.1168	0.0	T058
C0522165	Feeling calm	16.0	3.2	1.8692	0.0	1.1682	0.2336	0.1168	0.0	T041
C0424329	outbursts of anger	16.0	1.7778	1.8692	0.1168	2.1028	0.2336	0.0	0.0	T033
C0562440	Behaviour positively reinforced	16.0	2.7429	7.4766	0.1168	8.1776	0.3505	0.4673	0.0	T033
C2984009	Suboptimal	16.0	2.6667	1.8692	0.0	1.4019	0.2336	0.1168	0.0	T080
C2937276	Slight (qualifier value)	16.0	0.8	5.6075	0.3505	4.6729	0.2336	0.1168	0.0	T080
C0023009	disorder language speech	16.0	0.5275	5.6075	0.1168	10.6308	0.1168	0.3505	0.1168	T047
C1561701	behavioral insomnia of childhood	16.0	1.0667	1.8692	0.0	1.7523	0.1168	0.0	0.0	T048
C0036602	Stimulations, Self	16.0	6.4	1.8692	0.0	0.5841	0.2336	0.1168	0.0	T041
C0679105	pleasurable emotion	16.0	1.8824	1.8692	0.0	1.986	0.2336	0.1168	0.0	T041
C1319127	stress level	16.0	1.6	1.8692	0.0	1.1682	0.0	0.0	0.0	T033
C0041671	ATTENTION DEFICIT DISORDER	16.0	2.3333	3.7383	0.2336	5.6075	0.8178	0.0	0.0	T048
C0240243	LOWER EXTREMITY HYPERACTIVITY	16.0	1.2308	1.8692	0.1168	1.5187	0.1168	0.1168	0.0	T033
C1839707	AUTISM, SEVERE	16.0	1.6	1.8692	0.1168	1.1682	0.0	0.0	0.0	T033
C0700127	Toilet trained (finding)	16.0	5.3333	1.8692	0.1168	0.7009	0.2336	0.1168	0.0	T033
C0426587	Altered appetite	15.6923	0.9718	7.9439	4.5561	7.1262	3.972	0.1168	1.0514	T033
C3898226	Motor Stereotypy	15.6875	0.848	29.3224	0.4673	17.2897	0.2336	0.4673	0.0	T033
C2165515	depression preceded by high activity level	15.5	1.1071	3.6215	0.1168	3.271	0.0	0.2336	0.0	T184
C0233517	Redirected behavior	15.5	1.3839	7.243	0.4673	6.5421	0.5841	0.1168	0.0	T054
C0085593	CHILL	15.5	1.9375	3.6215	0.4673	3.271	0.8178	0.1168	0.2336	T184
C0005745	Blepharoptosis	15.5	1.8023	3.6215	0.2336	5.0234	0.5841	0.1168	0.0	T047
C0231530	Muscle twitch	15.3333	1.9167	5.3738	0.3505	4.6729	0.5841	0.0	0.0	T033
C1822049	Interacts with peers	15.0909	0.5314	9.6963	1.285	8.2944	0.5841	0.1168	0.2336	T033
C1976747	Special behavior symptom evaluation program	15.0	1.25	1.7523	0.0	1.4019	0.0	0.1168	0.0	T058
C1299701	Academic progress	15.0	1.875	1.7523	0.0	0.9346	0.0	0.0	0.0	T033
C2114509	free text for previous tests	15.0	0.9091	3.5047	0.1168	3.8551	0.0	0.2336	0.1168	T033
C1319482	Efficacy of all medication checked	15.0	1.0345	5.257	0.3505	3.3879	0.2336	0.1168	0.0	T033
C0178303	Arthropathies and related disorders	15.0	5.0	1.7523	0.0	0.3505	0.0	0.1168	0.0	T047
C2077830	intermittent difficulty opening eye	15.0	3.0	1.7523	0.0	0.5841	0.0	0.1168	0.0	T184
C3864244	milestone: immature pencil grasp	15.0	0.6522	1.7523	0.0	2.6869	0.0	0.1168	0.0	T033
C4064026	social/emotional reciprocity appears deaf	15.0	2.1429	1.7523	0.1168	0.8178	0.1168	0.0	0.0	T033
C4280573	Communication delay	15.0	2.5	1.7523	0.1168	1.4019	0.2336	0.0	0.0	T033
C1821250	Nasal tone to voice	15.0	1.1538	1.7523	0.0	1.5187	0.0	0.1168	0.0	T033
C3552687	Language development limited to a few words	15.0	1.3636	3.5047	0.2336	1.285	0.1168	0.0	0.0	T033
C1516998	Exogenous Factors	15.0	1.875	1.7523	0.0	0.9346	0.0	0.0	0.0	T033
C0425390	Social group 3 - skilled	15.0	1.25	1.7523	0.0	1.4019	0.0	0.0	0.0	T033
C0239110	Consciousness clear	15.0	2.5	1.7523	0.0	0.7009	0.0	0.0	0.0	T033
C1262869	body positions	15.0	1.1538	1.7523	0.1168	1.5187	0.1168	0.0	0.0	T033
C0421274	Difficulty maintaining weight loss	15.0	0.375	0.7009	0.1168	1.8692	0.1168	0.2336	0.5841	T033
C3534775	Suicide risk assessed at the initial evaluation	15.0	6.0	1.7523	0.0	0.5841	0.2336	0.0	0.0	T033
C2198622	milestone: can sing a song	15.0	1.5	1.7523	0.0	1.1682	0.0	0.0	0.0	T033
C0018524	hallucinations	14.9	0.7641	34.8131	2.3364	31.8925	1.6355	0.2336	0.2336	T048
C0814066	emotional self-management	14.5	1.3182	3.3879	0.2336	1.285	0.1168	0.1168	0.0	T055
C2183446	difficulty swallowing liquids more than solids	14.5	1.0741	3.3879	0.1168	3.1542	0.0	0.2336	0.1168	T033
C0237113	speech language	14.0	3.5	1.6355	0.1168	1.4019	0.3505	0.0	0.0	T033
C0010967	Dangerous Behaviors	14.0	0.4746	4.9065	0.3505	6.8925	0.2336	0.0	0.0	T055
C0231362	Intermittent constipation pattern	14.0	2.0	3.271	0.2336	2.4533	0.3505	0.1168	0.0	T033
C2136042	current difficulty with school subjects	14.0	1.5556	1.6355	0.0	2.1028	0.2336	0.1168	0.1168	T033
C1855343	Prenatal diagnosis by ultrasound	14.0	3.5	1.6355	0.0	0.4673	0.0	0.0	0.0	T033
C0042571	Vertigo	14.0	1.3125	4.0888	0.5841	3.7383	0.7009	0.1168	0.2336	T184
C0558017	Continuous behavioral assessment	14.0	2.8	1.6355	0.0	0.5841	0.0	0.0	0.0	T058
C0443220	Flexible	14.0	0.9333	1.6355	0.0	1.7523	0.0	0.0	0.0	T080
C2609323	Hyperfocus	14.0	2.8	1.6355	0.0	1.1682	0.2336	0.0	0.0	T033
C0476414	Thyroid function tests NOS abnormal	14.0	1.0	1.6355	0.0	1.6355	0.0	0.1168	0.0	T033
C0589098	Focused attention, function	14.0	2.8	1.6355	0.0	1.1682	0.2336	0.1168	0.0	T041
C0857816	Increased susceptibility increased	14.0	1.75	1.6355	0.0	0.9346	0.0	0.0	0.0	T033
C2135633	currently in first year of postgraduate studies	14.0	1.75	1.6355	0.0	0.9346	0.0	0.1168	0.0	T033
C0740827	AGITATION EXTREME	14.0	3.5	1.6355	0.0	0.4673	0.0	0.0	0.0	T048
C0234853	Facial grimace	14.0	0.8235	1.6355	0.1168	1.986	0.0	0.1168	0.0	T033
C0683287	sympathy	14.0	1.5556	1.6355	0.1168	1.0514	0.0	0.1168	0.0	T041
