NER,src
"auditory self-stimulation - singing, vocalizations", Plos General
"purposive hand movements no loss", ADAR
"runs in circles", Plos General
"unusually negative reaction to trivial changes in the environment", ADAR
"did not initiate any contact", Plos General
"does spontaneously seek to share interests or achievements with other people", Plos General
"slapping himself", Plos General
"regular use of others hand as a tool", ADAR
"predictable abnormal idiosyncratic negative response to one or more sensory stimuli with mild reaction", ADAR
"some toandfro social play", ADAR
"number of instances of idiosyncratic movements with his hands", Plos General
"stub for nif behavioral process", ADAR
"eye contact is observed 3 times during 45 minute interview", Plos General
"no hand and finger mannerisms", ADAR
"regular use of neologisms or idiosyncratic ways of saying things", ADAR
"nervous system diseases", ASDPTO
"never developed normal speech or language", Plos General
"sensitivity to conversant", ASDPTO,ADAR
"emotional outbursts", ASDPTO,ADAR
"won't play with other kids", Plos General
"practices spinning, twirling his body", Plos General
"walking on toes", Plos General
"developmental process", ADAR
"shaking of hands, shuddering", Plos General
"unable to ask for things using words", Plos General
"quality of social overtures", ADAR
"repetitive flexion / extension movements of his fingers", Plos General
"talking to self", Plos General
"not delayed walked unaided", ADAR
"emotional regulation and control", ASDPTO,ADAR
"language milestones quite delayed", Plos General
"sensory intolerance", Plos General
"down syndrome", ASDPTO
"pacing in circles", Plos General
"makes very little eye contact", Plos General
"palilalia", Plos General
"somewhat limited facial expression range", ADAR
"poor social skills or interest in social interaction with peers", Plos General
"neologisms idiosyncratic language notavailable", ADAR
"emotional reciprocity capability", ADAR
"development definitly abnormal in the first 3 years not unambiguously autistic at that age", ADAR
"unusual preoccupation that does not interfere with significant activities", ADAR
"he engages in little cooperative play", Plos General
"hearing loss", ASDPTO
"normal speech", ADAR
"self-directed behavior", Plos General
"pervasive child development disorders", ASDPTO
"muscular dystrophy", ADAR
"has watched particular video 100-200 times", Plos General
"hitting jaw with hand to click teeth", Plos General
"lining up pictures of presidents", Plos General
"initiates play behavior", Plos General
"cognitive ability", ASDPTO,ADAR
"continues to manifest atypicalities in interactional style and language pattern", Plos General
"limited in interactions with other children", Plos General
"preoccupation with narrowly focused interest", Plos General
"language skills limited", Plos General
"echo speech", Plos General
"indifference to pain", Plos General
"marked impairment in language", Plos General
"word acquisition", ADAR
"quantitative value", ADAR
"response to approaches of other children", ADAR
"has some language difficulties as well as flipping words in sentences and difficulty with pronunciation", Plos General
"fragile x syndrom", ADAR
"use of jargon", Plos General
"crohn disease", ASDPTO
"phrase acquisition", ADAR
"self destructive behavior", Plos General
"does not consistently appear to pay attention", ADAR
"he avoided eye contact with examiner", Plos General
"does not like to be touched", Plos General
"no evidence of creative play", Plos General
"lining up toys", Plos General,Plos General
"voluntary interaction with therapist", Plos General
"mimics sounds", Plos General
"profound fascination for water, balloon", Plos General
"high repetitive sensory motion", ADAR
"minimal interaction with peers", Plos General
"self-abusive behavior", Plos General
"difficulties with minor changes in subjects own routines or personal environment", ADAR
"general loss of skills", ADAR
"has great difficulty interacting with other children", Plos General
"stereotypical motor behavior", Plos General
"pays little attention to family or examiner", Plos General
"repetitive rocking movements", Plos General
"does not establish eye contact", Plos General
"uses examiner's hand as tool", Plos General
"anxiety disorders", ASDPTO
"unusuall or odd gaze", ADAR
"definite abnormal wringing hand movements mainly in the midline", ADAR
"enjoys parallel active play but little or no cooperative play", ADAR
"expressionless face", Plos General
"socially interacts", Plos General
"withdrawal; social", Plos General
"notavailable social verbalization", ADAR
"has to be drawn into interactions with other children", Plos General
"never shakes head spontaneously", ADAR
"moderate impairment in pragmatic language", Plos General
"arm flapping", Plos General
"social communication disorder", Plos General
"delays speech", Plos General
"resistant to change", Plos General
"ability to initiate speech", ADAR
"turning light switch on and off repeatedly", Plos General
"no intelligible speech", Plos General
"stereotypic vocalization", Plos General
"constructive or imaginative play", ADAR
"repetitious behavior", Plos General
"toe walking", Plos General
"newborn exposures", ASDPTO
"community life skills", ASDPTO,ADAR
"understanding logical progression", ASDPTO,ADAR
"initiates very little in the way of play behavior", Plos General
"difficulty conveying wants & needs with language", Plos General
"use of others body to communicate", ADAR
"preoccupation with spinning wheels", Plos General
"does not play with toys", Plos General
"some participation in pretend play with another child", ADAR
"perseverative play", Plos General
"eye contact very poor", Plos General
"social withdrawal", Plos General,Plos General
"compulsive behavior", ASDPTO,ADAR
"has made few if any friends", Plos General
"no indication of affect in his face", Plos General
"not spontaneously engaging in other children", Plos General
"rarely shows social intentionality involving eye gaze or vocalization", ADAR
"often usesorused stereotyped itterances with productive language as well", ADAR
"very demanding of sameness", Plos General
"engaging in some repetitive behavior", Plos General
"delayed speech and language", Plos General
"lacks social skills (poor, impaired, limited)", Plos General
"can perform unexpected action with unexpected object when requested", ADAR
"cri-du-chat syndrome", ASDPTO
"fans the pages of a book 20 minutes at a time", Plos General
"carefully scrutinizes parts of toys", Plos General
"repetitively labeling objects", Plos General
"has to say one or more things in a special way", ADAR
"analytic capability", ASDPTO,ADAR
"he arranges his cars over and over again in lines", Plos General
"he has no social interaction with other children", Plos General
"no friends", Plos General
"enjoys spinning", Plos General
"licking carpet during exam", Plos General
"hand flapping when excited", Plos General
"expressive semantics", ASDPTO,ADAR
"pathologic function", ADAR
"imaginative cooperative play with other children in spontaneous pretend activities", ADAR
"physiologic function", ADAR
"attention to voice notavailable", ADAR
"understanding others expectations", ADAR
"restricted range of interests", ASDPTO,ADAR
"manic - pacing", Plos General
"involve seeking of contact in group situation within personal relationships", ADAR
"appropriate and spontaneous use", ADAR
"no friends in his peer group", Plos General
"does not interact with peers", Plos General
"some attachment to slightly unusual object", ADAR
"use of some questions or statements regardless of situation", ADAR
"abnormality of toe walking", Plos General
"language ability", ASDPTO,ADAR
"overactivity", ASDPTO
"likes to tie things together", Plos General
"avoiding any eye contact", Plos General
"direct gaze not available", ADAR
"preoccupation of patterns of doing things", Plos General
"no general sensitivity to noise", ADAR
"special interest of unusual degree", ADAR
"copying (learning)", Plos General
"strange or illogical ideas", ASDPTO
"inflexible adherence to routines or rituals", Plos General
"some spontaneous offers to share limited in number", ADAR
"unable to sustain conversation", Plos General
"temporal region", ADAR
"pacing up and down", Plos General
"emotional swings", ASDPTO,ADAR
"lining up, grouping toys", Plos General
"performance in school", ASDPTO,ADAR
"does not play with others", Plos General
"uses hand as tool", Plos General
"savant negative", ADAR
"understanding context", ASDPTO,ADAR
"occasions in which he will demonstrate repetitive movements", Plos General
"development definitly abnormal in the first 3 years strongly indicative of autism", ADAR
"no or rare use of inappropriate questions or statements", ADAR
"slight sensitivity to noise", ADAR
"medium repetitive sensory motion", ADAR
"likes to play by himself", Plos General
"no midline hand movements", ADAR
"rarely responds although hearing normal", ADAR
"lip smacking", Plos General
"problems not present before third birthday", ADAR
"predictable abnormal idiosyncratic negative response to one or more sensory stimuli with substantial interference with family routines", ADAR
"interacted with examiner in pleasant, but disengaged, manner", Plos General
"not engaging socially", Plos General
"learning imitation", Plos General
"rote phrases", Plos General
"unusual attachment to objects", ADAR
"social use of language was below expectations", Plos General
"ulcerative colitis", ASDPTO
"does not make good eye contact", Plos General
"facial expressions constricted, and eye contact", Plos General
"primary diagnosis", ASDPTO
"likes to watch objects spin", Plos General
"head banging", Plos General
"stereotyped restricted and repetitive behavior", ADAR
"little or no smiling at people", ADAR
"mental disorders", ASDPTO
"stereotyped utterances and delayed echolalia", ADAR
"color perception", ASDPTO,ADAR
"delayed word", ADAR
"marked impairment of interpersonal relations", Plos General
"desire for sameness, some intolerance for change", Plos General
"enamored of television country music station, will watch for 2-3 hours (note: issue is not time it's the 'enamored/perseverative' issue)", Plos General
"quality of performed task", ASDPTO,ADAR
"occasional use of neologisms or idiosyncratic words and phrases", ADAR
"difficulty with concrete speech and language", Plos General
"imitation (learning)", Plos General
"post-traumatic stress disorders", ASDPTO
"rarely says any words", Plos General
"very limited in the quality of social interaction with other children", Plos General
"craving unusual or nonfood items", Plos General
"object boundary", ADAR
"labor presentation", ASDPTO
"smells everything", Plos General
"general disregard in social interaction", Plos General
"never nods spontaneously", ADAR
"rarely makes eye contact", Plos General
"showing and directing attention notavailable", ADAR
"mood disorders", ASDPTO
"engages in no definite social play with age mates", Plos General
"no attachment or attachment only to cuddly object used as comforter", ADAR
"learning disorders", ASDPTO
"totally unresponsive to efforts to engage him interpersonally", Plos General
"group play with peers notavailable", ADAR
"makes very poor eye contact", Plos General
"social disconnectedness", Plos General
"preoccupied with living things", Plos General
"no effort to initiate play with other children", Plos General,Plos General
"occasional and or fewer than five words", ADAR
"ability to convey feelings", ASDPTO,ADAR
"raising one of his arms", Plos General
"digestive complaints", ASDPTO
"eye contact mildly diminished", Plos General
"problems not present before fourth birthday", ADAR
"quality of social overtures notavailable", ADAR
"initiates contact with friends", Plos General
"lining up cars", Plos General
"stereotyped phrases", Plos General
"idiosyncratic language abnormalities", Plos General
"full facial expression range", ADAR
"little evidence of pretend / creative play", Plos General
"showing and directing attention", ADAR
"medications during pregnancy", ASDPTO
"midline hand movements", ADAR
"sometimes share if requested", ADAR
"adherence to rules in the home", ASDPTO,ADAR
"very little verbal response", Plos General
"perseverative behaviors", Plos General
"few or no attempts to share enjoyments", ADAR
"often watches other children and sometimes approaches them ot gets attention", ADAR
"obsessively focused on books, videos, and pictures", Plos General
"never playing with other children", Plos General
"need to touch walls in certain places at certain times of the day", Plos General
"occasional brief eye contact", Plos General
"initiates only limited social exchanges", Plos General
"no verbal communication", Plos General
"preoccupation with fire", Plos General
"play with toys was without imaginative control", Plos General
"obsessive-compulsive disorder", ASDPTO
"prefers parallel play", Plos General
"language consists of 'barney' and ' no'", Plos General
"no symbolic play", Plos General
"expressive phonology", ASDPTO,ADAR
"expressive morphology", ASDPTO,ADAR
"seeks no play that involves participation in groups of other children", ADAR
"constructive or imaginative play possible loss", ADAR
"fascinated by parts of objects", Plos General
"responsiveness to social advances", ASDPTO,ADAR
"urogenital diseases", ASDPTO
"sleep disorders", ADAR
"will repeatedly toss blocks to floor and watch them scatter", Plos General
"his favorite activity is to walk around waving coat hangers in front of himself", Plos General
"using language appropriately", ASDPTO,ADAR
"waving things in front of his face", Plos General
"meaningful interaction with toys", Plos General
"will not interact in a socially meaningful manner", Plos General
"skill in understanding humor", ASDPTO,ADAR
"social interaction very limited", Plos General
"some indication of spontaneous imitation that goes beyond copying a frequent use of an object", ADAR
"undue general sensitivity to noise", ADAR
"problems not present before second birthday", ADAR
"constructive or imaginative play definite loss", ADAR
"refusal to interact with other children", Plos General
"arranging objects in straight line", Plos General
"minimal eye contact", Plos General
"landau-kleffner syndrome", ASDPTO
"interacts with other children", Plos General
"insufficient language to show change syntactycal skills", ADAR
"purposive hand movements possible loss", ADAR
"restricted interest in play", Plos General
"seeking to share herhis enjoyment with others", ADAR
"inflammatory bowel diseases", ASDPTO
"his understanding of pragmatic language appears to be quite limited", Plos General
"attachment to shooter comforter or other unusual object beyond age", ADAR
"he seems very fixated on doing things in his own order", Plos General
"makes little eye contact", Plos General
"still not able to initiate a social interaction", Plos General
"mostly watches other children", Plos General
"clothing self", ASDPTO,ADAR
"moderate eye contact", Plos General
"non-communicating child", Plos General
"lack of eye contact", Plos General
"interactions with friends and family", ASDPTO,ADAR
"does not engage or play with other children normally", Plos General,Plos General
"facial expressions obviously inappropriate in several different situations", ADAR
"delayed speech and language development", Plos General
"impairment of peer relationships", Plos General
"poor eating behavior", ASDPTO,ADAR
"plays with toys", Plos General
"speech limited", Plos General
"communication capability", ADAR
"appropriate response to overtures by familiar and unfamiliar adults", ADAR
"rarely or never responds to the approach of even a familiar child", ADAR
"cerebral palsy", ASDPTO
"obstetric delivery complications", ASDPTO
"fixation on certain objects and colors", Plos General
"no compulsions or rituals", ADAR
"marked social disinhibition appears unaware of social cues and social requirements", ADAR
"no eye contact with examiner", Plos General
"hand and finger mannerisms", ADAR
"skin indications", ASDPTO
"lost language skills after acquisition", ADAR
"picking at wallpaper until whole room is free of wallpaper", Plos General
"problems not present before sixth birthday", ADAR
"normal social inhibition", ADAR
"memorizes lines and dialogue from movies and stories", Plos General
"occasional spontaneous pretend actions or highly repetitive pretend play", ADAR
"eye contact moderately reduced", Plos General
"content of speech seems lacking much of the time", Plos General
"environmental effect of humans", ADAR
"eye contact is present only sporadically; exhibits social smile only sporadically", Plos General
"lining up objects", Plos General
"some stereotypic movements observed", Plos General
"repetitive use of objects or interest in parts of objects", ADAR
"unable to maintain conversation", Plos General
"problems not present before fifth birthday", ADAR
"drug abuse", ASDPTO
"clear-cut abnormalities in area of social interaction", Plos General
"no word", ADAR
"pretty much a loner", Plos General
"fascination with spinning fans", Plos General
"age when abnormality first evident", ADAR
"decision making ability", ASDPTO,ADAR
"preparation of food", ASDPTO,ADAR
"facial expressions slightly or occasionally inappropriate or odd", ADAR
"limited expressive language", Plos General
"respiratory indications", ASDPTO
"motor jerks (stereotypical or repetitive - not a tic)", Plos General
"definite loss of five meaningful words use", ADAR
"atypical stereotypic motor mannerisms", Plos General
"no interest in peers", Plos General
"play with toys is not very functional", Plos General
"little in the way of social interactive play", Plos General
"interest in peers", Plos General
"hand / finger wiggling", Plos General
"he is not involved in interactive play", Plos General
"interviewers judgment on age when developmental abnormalities probably first manifest", ADAR
"little toandfro social play", ADAR
"does not respond to pain appropriately", Plos General
"pronominal reversal notavailable", ADAR
"atypical prosody", Plos General
"likes to do puzzles over and over again", Plos General
"eye contact only fleetingly achieved", Plos General
"object aggregate", ADAR
"he can become fixated on an activity to the point that it is impossible to redirect him", Plos General
"unintelligible vocalizations", Plos General
"plays with toys appropriately", Plos General
"not engaging in any specific play activity", Plos General
"gross motor skills", ASDPTO,ADAR
"inspected toys but did not play with toys", Plos General
"fascinated by the sound when computer is turned on; when air is squeezed out of bottle", Plos General
"receptive semantics", ASDPTO,ADAR
"autism spectrum disorder related condition", ADAR
"offering comfort", ADAR
"tends to communicate by grunting & screaming", Plos General
"aggressive behavior", ASDPTO,ADAR
"repetitive hand washing", Plos General
"social interaction limited, particularly in group setting", Plos General
"stereotypical movements", Plos General
"tolerant of cold", Plos General
"self help skills definite loss", ADAR
"deliberate self-harm", Plos General
"picking at her nose for hours at a time", Plos General
"definite lack of appreciation of social cues contexts or requirements", ADAR
"bowel disorders", ADAR
"impairment of sharing good thing", ADAR
"systemic lupus erythematosus", ASDPTO
"conversation flows", ADAR
"series of short lasting attachments to unusual objects", ADAR
"conversational skills", ASDPTO,ADAR
"history of failure to develop peer relationships", Plos General
"impairment of non-verval social interaction", ADAR
"functional use", ADAR
"very significant lack of interest in make-believe play", Plos General
"inability to play with other children", Plos General
"differently interacting with other children", Plos General
"space perception", ASDPTO,ADAR
"repetitive finger movements", Plos General
"some bringing things andor showing but associated with preoccupations", ADAR
"onset as preceived with hindsight", ADAR
"peer interactions are directed by other children", Plos General
"expressive syntax", ASDPTO,ADAR
"repetitively lining up toys", Plos General
"developmental capability", ADAR
"limited vocabulary", Plos General
"very little spontaneous speech", ADAR
"first and second person confusion after phrase speech established", ADAR
"lost any interest in playing interactive games", Plos General
"preparing for tasks", ASDPTO,ADAR
"spontaneously pointing", ADAR
"definite preoccupation that causes substantial interference or social impairment", ADAR
"playing for long periods with trains, arranging and rearranging in different patterns", Plos General
"lacks spontaneous make believe play", Plos General
"no pragmatic language", Plos General
"lack of expressive language", Plos General
"spontaneously engaging in other children", Plos General
"regularly predictable reciprocal social smiling", ADAR
"little or no interest in or response to people", ADAR
"immoderate behavior", ASDPTO,ADAR
"actively seeks and plays cooperatively in several different groups", ADAR
"notavailable pointing", ADAR
"body posture", ADAR
"tactile defensiveness (finger paints, playdough, shaving cream, etc.)", Plos General
"hand shaking", Plos General
"abnormal activity or energy level", ASDPTO
"unusual posturing; jumping while holding crotch", Plos General
"prefers to play alone", Plos General
"adherence to rituals and routines", ASDPTO,ADAR
"does not play with toys appropriately", Plos General
"insufficient language to show change communicative intent", ADAR
"obstetric delivery procedures", ASDPTO
"picks at nose stereotypically with thumb and index finger", Plos General
"eye contact", ASDPTO,ADAR
"ability to convey information", ASDPTO,ADAR
"complaints and indications", ASDPTO
"difficulty answering questions", Plos General
"rett syndrome", ASDPTO
"facial expressions almost always appropriate to mood situation and context", ADAR
"shows little interest in toys", Plos General
"spends much time filtering corn through his hands", Plos General
"doesn't have much interaction with children", Plos General
"acquisition of bladder control", ADAR
"likes repetition and routine", Plos General
"obsessed with tire swings, color yellow (stacking only yellow blocks, using only yellow crayons)", Plos General
"intentional bad behavior", ASDPTO,ADAR
"awareness of social and personal space", ASDPTO,ADAR
"he does not talk", Plos General
"twirling and spinning", Plos General
"does not use gestures to communicate", Plos General
"cell function", ADAR
"occasional placement of others hand as a tool", ADAR
"limited speech", Plos General
"biologic function", ADAR
"gastrointestinal diseases", ASDPTO
nk articulation
"problem solving ability", ASDPTO,ADAR
"eye contact was marginal, usually fleeting, typified by lack of social acknowledgment", Plos General
"self help skills no loss", ADAR
"preoccupied with medical instruments", Plos General
"attention to voice", ADAR
"loss of communicative intent", ADAR
"receptive syntax", ASDPTO,ADAR
"idiosyncratic and routinized speech", ASDPTO,ADAR
"understanding the effect of one's actions", ASDPTO
"she certainly does not seek out attention", Plos General
"stereotypic movements", Plos General
"very little eye contact with others", Plos General
"assessment result", ADAR
"offering to share notavailable", ADAR
"probable loss of communicative intent", ADAR
"fascination with engines and keys", Plos General
"eye contact was variable", Plos General
"definite loss of communicative intent", ADAR
"fearful to try new activities", Plos General
"always been a loner", Plos General
"speech with abnormality", ADAR
"spontaneous imitation limited to a few familiar routines that are not incorporated into play", ADAR
"definite repetitive preoccupation that intrudes into family life", ADAR
"working memory", ASDPTO,ADAR
"profound language delay", Plos General
"definite sensitivity to noises and interfere with family routines", ADAR
"generically dependent continuant", ADAR
"likes to line objects up", Plos General
"definite unusual reactions to minor changes in subjects own routines", ADAR
"sharing in interests of others", ASDPTO,ADAR
"interested in interacting with family or other children", Plos General,Plos General
"verbal repetition", Plos General
"clapping hands on thighs in a very rapid fashion", Plos General
"fascinated by mechanical objects", Plos General
"has social interaction with other children", Plos General
"definite circumscribed interest that does not cause substantial interference with social functioning", ADAR
"no evidence of toandfro socal play", ADAR
"poverty of facial expression", Plos General
"loss of syntactical skills", ADAR
"psychologic indications", ASDPTO
eye contact very difficult
"social interaction capability", ADAR
"personal traits", ASDPTO,ADAR
"stereotyped, repetitive behavior", Plos General
"string 2 to 3 words together at a time", Plos General
"nothing to suggest imitation", Plos General
nk five meaningful words use
"plays by himself", Plos General
"impairment of play behavior", ADAR
"no spontaneous social interaction", Plos General
"injury or poisoning", ADAR
"if the routines of her life are broken, she becomes quite angry", Plos General
"no definite loss of syntactical skills", ADAR
"doesn't play games with family members or friends", Plos General
"recognition and responsiveness to voice", ASDPTO,ADAR
"play linked to highly stereotyped use of objects", ADAR
"does not mix with other children", Plos General
"neologisms idiosyncratic language", ADAR
"hand flapping when agitated", Plos General
"loss of language skills associated meningeal or encephalitic involvement", ADAR
"tends to relate to objects as their parts as opposed to their whole", Plos General
"difficult to maintain eye contact", Plos General
"no use", ADAR
"imitative social play notavailable", ADAR
"compulsion for jigsaw puzzles", Plos General
"atypical pragmatic language skills", Plos General
"inconsistent eye contact", Plos General
"no meaningful interaction with toys", Plos General
"may use eye gaze or vocalization", ADAR
"no pretend play", ADAR
"consistently nods spontaneously", ADAR
"pointing to express interest", ADAR
"association of loss of language with physical illness", ADAR
"if this activity is disrupted (lining up objects), he exhibits anger", Plos General
"fascination with water", Plos General
"head injury", ASDPTO
"semantic-pragmatic impairment", Plos General
"other complex mannerisms or stereotyped body movements notavailable", ADAR
"language non-existent", Plos General
"moving his jaw, rubbing his hands together", Plos General
"little or no repetitive use of objects", ADAR
"did not actively engage with this examiner", Plos General
"no eye contact", Plos General
"asperger syndrome", ASDPTO
"not really connected socially", Plos General
"definite unusual and marked resistance to trivial changes in the environment", ADAR
"spins around in circles", Plos General
"preoccupation with water", Plos General
"interacted with toys only by naming them", Plos General
"interpersonal interactions", ASDPTO,ADAR
"involuntary behaviors", ASDPTO,ADAR
"variety of pretend play", ADAR
"uninterested in interacting with family or other children", Plos General,Plos General
"facial expression range notavailable", ADAR
"cardiovascular diseases", ASDPTO
"appears not to pick up on conversational cues well", Plos General
"play is limited and quite stereotypic", Plos General
"repetitively playing with water", Plos General
"mental flexibility", ASDPTO,ADAR
"parallel play only", Plos General
"twisting his nipples, repetitively striking his finger against table", Plos General
"bites fingers until red and swollen", Plos General
"avoided direct gaze", Plos General
